Event,Suburb,PreRent,PostRent,Diff
International Student Cap Announcement,West Footscray,477.5,535.0,57.5
International Student Cap Announcement,Whittlesea,491.25,537.5,46.25
International Student Cap Announcement,Williamstown,608.75,645.0,36.25
International Student Cap Announcement,Wodonga,435.0,467.5,32.5
Foreign Buyer Ban,Altona,545.0,550.0,5.0
Foreign Buyer Ban,Armadale,602.0,620.0,18.0
Foreign Buyer Ban,Bairnsdale,438.75,460.0,21.25
Foreign Buyer Ban,Balwyn,695.0,720.0,25.0
Foreign Buyer Ban,Bayswater,530.0,550.0,20.0
Foreign Buyer Ban,Benalla,421.25,443.0,21.75
Foreign Buyer Ban,Bendigo,440.0,460.0,20.0
Foreign Buyer Ban,Bentleigh,663.75,680.0,16.25
Foreign Buyer Ban,Berwick,573.75,600.0,26.25
Foreign Buyer Ban,Blackburn,584.5,600.0,15.5
Foreign Buyer Ban,Boronia,535.0,560.0,25.0
Foreign Buyer Ban,Box Hill,598.75,600.0,1.25
Foreign Buyer Ban,Brighton,702.75,800.0,97.25
Foreign Buyer Ban,Brighton East,845.75,800.0,-45.75
Foreign Buyer Ban,Brunswick,583.75,600.0,16.25
Foreign Buyer Ban,Carlton North,697.5,750.0,52.5
Foreign Buyer Ban,Carnegie,545.0,560.0,15.0
Foreign Buyer Ban,Castlemaine,456.25,470.0,13.75
Foreign Buyer Ban,Caulfield,636.25,650.0,13.75
Foreign Buyer Ban,Cheltenham,602.5,620.0,17.5
Foreign Buyer Ban,Clayton,588.75,600.0,11.25
Foreign Buyer Ban,Corio,390.0,400.0,10.0
Foreign Buyer Ban,Craigieburn,512.75,522.0,9.25
Foreign Buyer Ban,Cranbourne,566.25,580.0,13.75
Foreign Buyer Ban,Dandenong,507.5,520.0,12.5
Foreign Buyer Ban,East Melbourne,613.5,630.0,16.5
Foreign Buyer Ban,Echuca,450.0,450.0,0.0
Foreign Buyer Ban,Elsternwick,581.25,598.0,16.75
Foreign Buyer Ban,Elwood,573.75,575.0,1.25
Foreign Buyer Ban,Essendon,532.5,550.0,17.5
Foreign Buyer Ban,Ferntree Gully,567.5,590.0,22.5
Foreign Buyer Ban,Fitzroy,671.25,700.0,28.75
Foreign Buyer Ban,Footscray,515.0,520.0,5.0
Foreign Buyer Ban,Frankston,515.0,540.0,25.0
Foreign Buyer Ban,Hamilton,350.75,350.0,-0.75
Foreign Buyer Ban,Hawthorn,532.25,530.0,-2.25
Foreign Buyer Ban,Horsham,380.0,380.0,0.0
Foreign Buyer Ban,Keilor,617.0,630.0,13.0
Foreign Buyer Ban,Kew,668.25,680.0,11.75
Foreign Buyer Ban,Lara,532.5,550.0,17.5
Foreign Buyer Ban,Malvern,591.25,635.0,43.75
Foreign Buyer Ban,Malvern East,597.5,610.0,12.5
Foreign Buyer Ban,Melton,445.0,450.0,5.0
Foreign Buyer Ban,Mildura,421.25,450.0,28.75
Foreign Buyer Ban,Morwell,352.5,380.0,27.5
Foreign Buyer Ban,Mount Waverley,657.5,670.0,12.5
Foreign Buyer Ban,Noble Park,495.0,515.0,20.0
Foreign Buyer Ban,North Bendigo,450.0,470.0,20.0
Foreign Buyer Ban,North Geelong,463.75,480.0,16.25
Foreign Buyer Ban,Northcote,620.0,640.0,20.0
Foreign Buyer Ban,Pakenham,515.0,540.0,25.0
Foreign Buyer Ban,Port Melbourne,721.25,770.0,48.75
Foreign Buyer Ban,Portland,400.0,410.0,10.0
Foreign Buyer Ban,Preston,525.0,550.0,25.0
Foreign Buyer Ban,Reservoir,500.0,525.0,25.0
Foreign Buyer Ban,Ringwood,542.25,555.0,12.75
Foreign Buyer Ban,Rowville,620.0,650.0,30.0
Foreign Buyer Ban,Seymour,398.75,400.0,1.25
Foreign Buyer Ban,Shepparton,430.0,450.0,20.0
Foreign Buyer Ban,South Melbourne,638.75,650.0,11.25
Foreign Buyer Ban,South Yarra,600.0,600.0,0.0
Foreign Buyer Ban,Springvale,545.0,550.0,5.0
Foreign Buyer Ban,St Kilda,540.0,560.0,20.0
Foreign Buyer Ban,Sunbury,491.25,520.0,28.75
Foreign Buyer Ban,Sunshine,460.0,485.0,25.0
Foreign Buyer Ban,Swan Hill,377.5,400.0,22.5
Foreign Buyer Ban,Sydenham,495.0,500.0,5.0
Foreign Buyer Ban,Thornbury,520.75,525.0,4.25
